Quality,Qualityid,GroupName,hsn,rate,width,Uom,pid
KASTURI,1,Jacquard,52121300,1,,Mtr,1
AMBALIKA,2,Jacquard,,1,,Mtr,2
MAHARAJA,3,Dobby,,1,,Mtr,3
60 X 60 COTTON,4,,,1,,Mtr,4
JACORD ALLOVER 150/300,5,Jacquard,,1,,Mtr,5
80/1400 HT WHITE,6,Chiffon,,1,,Mtr,6
60S COTTON WHITE,7,Yarn,5205,1,,Mtr,7
SRM,8,Chiffon,5210,1,,Mtr,8
SJT,9,Chiffon,521031,53.5,2,Mtr,9
90/2 COTTON WHTIE,10,Yarn,,1,,Mtr,10
SHALIMAR WHITE,11,Jacquard,,1,,Mtr,11
SHALIMAR CROSS,12,Jacquard,,1,,Mtr,12
SUN-104,13,Yarn,,1,,Mtr,13
80/2,14,Yarn,,1,,Mtr,14
PIRAMAL,15,Chiffon,,1,,Mtr,15
01-February-0100,16,Yarn,,1,,Mtr,16
PLAIN,17,Dobby,520811,1,6,Mtr,17
SHRINGAR,18,Jacquard,,1,,Mtr,18
KAREENA,19,Jacquard,5210,55,,Mtr,19
CHIFFON COLOUR BUTTA,20,Chiffon,,1,,Mtr,20
CHIFFON WHITE BUTTA,21,Chiffon,,1,,Mtr,21
CHIFFON MULTY BUTTA,22,Chiffon,5210,1,,Mtr,22
2/80 COT ZARI,23,Yarn,,1,,Mtr,23
2/40S ZARI WHITE,24,Yarn,,1,,Mtr,24
2/80 COMBED WHITE,25,Yarn,,1,,Mtr,25
AMBALIKA GOLD,26,Jacquard,,1,,Mtr,26
52S PV WHITE,27,Yarn,,1,,Mtr,27
TASPA DYED MIX,28,Yarn,,1,,Mtr,28
150/300 GLITTER DYED,29,Yarn,,1,,Mtr,29
150/350 WARP DYED,30,Yarn,,1,,Mtr,30
BLACK ROBIN DYED MIX,31,Yarn,,1,,Mtr,31
ROBIN BLACK,32,Yarn,,1,,Mtr,32
16S SLUB WHITE,33,Yarn,,1,,Mtr,33
20S FLAXO WHITE,34,Yarn,,1,,Mtr,34
KASHAB ZARI WHITE,35,Yarn,,1,,Mtr,35
MAJESTY,36,Jacquard,540752,1,4,Mtr,36
MANASVI,37,Dobby,,1,,Mtr,37
MAYA,38,Fancy,521031,71,2,Mtr,38
60S CARDED WHITE,39,Yarn,5205,1,,Mtr,39
40S  COTTON,40,Yarn,5205,1,,Mtr,40
ZARI (BRT & DYED),41,Yarn,,1,,Mtr,41
75/450 BRIGHT WHITE,42,Yarn,,1,,Mtr,42
78/0 CRIMP WHITE,43,Yarn,,1,,Mtr,43
75 BRIGHT WHITE,44,Yarn,,1,,Mtr,44
40S STEPAL WHITE,45,Yarn,,1,,Mtr,45
50S/52S PV WHITE,46,Yarn,,1,,Mtr,46
2/40S STEPAL WHITE,47,Yarn,,1,,Mtr,47
30/1000 HT BLACK,48,Yarn,,1,,Mtr,48
2/80S DOUBLING BLACK,49,Yarn,,1,,Mtr,49
100/2 DOBLING WHITE,50,Yarn,,1,,Mtr,50
91S COTTON WHITE,51,Yarn,5205,1,,Mtr,51
2/40 PV DYED MIX,52,Yarn,,1,,Mtr,52
2/60S POLYSTER WHITE,53,Yarn,,1,,Mtr,53
30S COTTON WHITE,54,Yarn,,1,,Mtr,54
